"variable1","variable2","Indicator","variable_group_1","variable_group_2","variable3","variable_group_3","variable4","variable_group_4","indicator_title"
"country","sex","11.5.1","geography - high level","sex/gender",NA,NA,NA,NA,"11.5.1 Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population"
"sex","country","11.5.1","sex/gender","geography - high level",NA,NA,NA,NA,"11.5.1 Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population"
"region","waste collection authority","11.6.1","geography - mid-level","geography - low level",NA,NA,NA,NA,"11.6.1 Proportion of municipal solid waste collected and managed in controlled facilities out of total municipal waste generated, by cities"
"waste collection authority","region","11.6.1","geography - low level","geography - mid-level",NA,NA,NA,NA,"11.6.1 Proportion of municipal solid waste collected and managed in controlled facilities out of total municipal waste generated, by cities"
"age","sex","11.7.2","age","sex/gender",NA,NA,NA,NA,"11.7.2 Proportion of persons victim of physical or sexual harassment, by sex, age, disability status and place of occurrence, in the previous 12 months"
"country of birth","sex","11.7.2","migration status etc","sex/gender",NA,NA,NA,NA,"11.7.2 Proportion of persons victim of physical or sexual harassment, by sex, age, disability status and place of occurrence, in the previous 12 months"
"disability status","sex","11.7.2","disability status etc","sex/gender",NA,NA,NA,NA,"11.7.2 Proportion of persons victim of physical or sexual harassment, by sex, age, disability status and place of occurrence, in the previous 12 months"
"ethnicity","sex","11.7.2","ethnicity","sex/gender",NA,NA,NA,NA,"11.7.2 Proportion of persons victim of physical or sexual harassment, by sex, age, disability status and place of occurrence, in the previous 12 months"
"income","sex","11.7.2","wealth","sex/gender",NA,NA,NA,NA,"11.7.2 Proportion of persons victim of physical or sexual harassment, by sex, age, disability status and place of occurrence, in the previous 12 months"
"region","sex","11.7.2","geography - mid-level","sex/gender",NA,NA,NA,NA,"11.7.2 Proportion of persons victim of physical or sexual harassment, by sex, age, disability status and place of occurrence, in the previous 12 months"
"sex","age","11.7.2","sex/gender","age",NA,NA,NA,NA,"11.7.2 Proportion of persons victim of physical or sexual harassment, by sex, age, disability status and place of occurrence, in the previous 12 months"
"sex","country of birth","11.7.2","sex/gender","migration status etc",NA,NA,NA,NA,"11.7.2 Proportion of persons victim of physical or sexual harassment, by sex, age, disability status and place of occurrence, in the previous 12 months"
"sex","disability status","11.7.2","sex/gender","disability status etc",NA,NA,NA,NA,"11.7.2 Proportion of persons victim of physical or sexual harassment, by sex, age, disability status and place of occurrence, in the previous 12 months"
"sex","ethnicity","11.7.2","sex/gender","ethnicity",NA,NA,NA,NA,"11.7.2 Proportion of persons victim of physical or sexual harassment, by sex, age, disability status and place of occurrence, in the previous 12 months"
"sex","income","11.7.2","sex/gender","wealth",NA,NA,NA,NA,"11.7.2 Proportion of persons victim of physical or sexual harassment, by sex, age, disability status and place of occurrence, in the previous 12 months"
"sex","region","11.7.2","sex/gender","geography - mid-level",NA,NA,NA,NA,"11.7.2 Proportion of persons victim of physical or sexual harassment, by sex, age, disability status and place of occurrence, in the previous 12 months"
"country","region","12.a.1","geography - high level","geography - mid-level",NA,NA,NA,NA,"12.a.1 Installed renewable energy-generating capacity in developing countries (in watts per capita)"
"region","country","12.a.1","geography - mid-level","geography - high level",NA,NA,NA,NA,"12.a.1 Installed renewable energy-generating capacity in developing countries (in watts per capita)"
"country","sex","13.1.1","geography - high level","sex/gender",NA,NA,NA,NA,"13.1.1 Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population"
"sex","country","13.1.1","sex/gender","geography - high level",NA,NA,NA,NA,"13.1.1 Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population"
"country","region","15.1.2","geography - high level","geography - mid-level",NA,NA,NA,NA,"15.1.2 Proportion of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type"
"region","country","15.1.2","geography - mid-level","geography - high level",NA,NA,NA,NA,"15.1.2 Proportion of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type"
"age","sex","16.1.1","age","sex/gender",NA,NA,NA,NA,"16.1.1 Number of victims of intentional homicide per 100,000 population, by sex and age"
"country","police force area","16.1.1","geography - high level","geography - low level",NA,NA,NA,NA,"16.1.1 Number of victims of intentional homicide per 100,000 population, by sex and age"
"country","police force area","16.1.1","geography - high level","geography - low level","region","geography - mid-level",NA,NA,"16.1.1 Number of victims of intentional homicide per 100,000 population, by sex and age"
"country","region","16.1.1","geography - high level","geography - mid-level",NA,NA,NA,NA,"16.1.1 Number of victims of intentional homicide per 100,000 population, by sex and age"
"country","region","16.1.1","geography - high level","geography - mid-level","police force area","geography - low level",NA,NA,"16.1.1 Number of victims of intentional homicide per 100,000 population, by sex and age"
"police force area","country","16.1.1","geography - low level","geography - high level",NA,NA,NA,NA,"16.1.1 Number of victims of intentional homicide per 100,000 population, by sex and age"
"police force area","country","16.1.1","geography - low level","geography - high level","region","geography - mid-level",NA,NA,"16.1.1 Number of victims of intentional homicide per 100,000 population, by sex and age"
"police force area","region","16.1.1","geography - low level","geography - mid-level",NA,NA,NA,NA,"16.1.1 Number of victims of intentional homicide per 100,000 population, by sex and age"
"police force area","region","16.1.1","geography - low level","geography - mid-level","country","geography - high level",NA,NA,"16.1.1 Number of victims of intentional homicide per 100,000 population, by sex and age"
"region","country","16.1.1","geography - mid-level","geography - high level",NA,NA,NA,NA,"16.1.1 Number of victims of intentional homicide per 100,000 population, by sex and age"
"region","country","16.1.1","geography - mid-level","geography - high level","police force area","geography - low level",NA,NA,"16.1.1 Number of victims of intentional homicide per 100,000 population, by sex and age"
"region","police force area","16.1.1","geography - mid-level","geography - low level",NA,NA,NA,NA,"16.1.1 Number of victims of intentional homicide per 100,000 population, by sex and age"
"region","police force area","16.1.1","geography - mid-level","geography - low level","country","geography - high level",NA,NA,"16.1.1 Number of victims of intentional homicide per 100,000 population, by sex and age"
"sex","age","16.1.1","sex/gender","age",NA,NA,NA,NA,"16.1.1 Number of victims of intentional homicide per 100,000 population, by sex and age"
"age","sex","16.1.3","age","sex/gender",NA,NA,NA,NA,"16.1.3 Proportion of population subjected to (a) physical violence, (b) psychological violence and (c) sexual violence in the previous 12 months"
"country of birth","sex","16.1.3","migration status etc","sex/gender",NA,NA,NA,NA,"16.1.3 Proportion of population subjected to (a) physical violence, (b) psychological violence and (c) sexual violence in the previous 12 months"
"disability status","sex","16.1.3","disability status etc","sex/gender",NA,NA,NA,NA,"16.1.3 Proportion of population subjected to (a) physical violence, (b) psychological violence and (c) sexual violence in the previous 12 months"
"ethnic group","ethnicity","16.1.3","ethnic group","ethnicity",NA,NA,NA,NA,"16.1.3 Proportion of population subjected to (a) physical violence, (b) psychological violence and (c) sexual violence in the previous 12 months"
"ethnicity","ethnic group","16.1.3","ethnicity","ethnic group",NA,NA,NA,NA,"16.1.3 Proportion of population subjected to (a) physical violence, (b) psychological violence and (c) sexual violence in the previous 12 months"
"ethnicity","sex","16.1.3","ethnicity","sex/gender",NA,NA,NA,NA,"16.1.3 Proportion of population subjected to (a) physical violence, (b) psychological violence and (c) sexual violence in the previous 12 months"
"highest qualification","sex","16.1.3","education level","sex/gender",NA,NA,NA,NA,"16.1.3 Proportion of population subjected to (a) physical violence, (b) psychological violence and (c) sexual violence in the previous 12 months"
"household income","sex","16.1.3","wealth","sex/gender",NA,NA,NA,NA,"16.1.3 Proportion of population subjected to (a) physical violence, (b) psychological violence and (c) sexual violence in the previous 12 months"
"region","sex","16.1.3","geography - mid-level","sex/gender",NA,NA,NA,NA,"16.1.3 Proportion of population subjected to (a) physical violence, (b) psychological violence and (c) sexual violence in the previous 12 months"
"sex","age","16.1.3","sex/gender","age",NA,NA,NA,NA,"16.1.3 Proportion of population subjected to (a) physical violence, (b) psychological violence and (c) sexual violence in the previous 12 months"
"sex","country of birth","16.1.3","sex/gender","migration status etc",NA,NA,NA,NA,"16.1.3 Proportion of population subjected to (a) physical violence, (b) psychological violence and (c) sexual violence in the previous 12 months"
"sex","disability status","16.1.3","sex/gender","disability status etc",NA,NA,NA,NA,"16.1.3 Proportion of population subjected to (a) physical violence, (b) psychological violence and (c) sexual violence in the previous 12 months"
"sex","ethnicity","16.1.3","sex/gender","ethnicity",NA,NA,NA,NA,"16.1.3 Proportion of population subjected to (a) physical violence, (b) psychological violence and (c) sexual violence in the previous 12 months"
"sex","highest qualification","16.1.3","sex/gender","education level",NA,NA,NA,NA,"16.1.3 Proportion of population subjected to (a) physical violence, (b) psychological violence and (c) sexual violence in the previous 12 months"
"sex","household income","16.1.3","sex/gender","wealth",NA,NA,NA,NA,"16.1.3 Proportion of population subjected to (a) physical violence, (b) psychological violence and (c) sexual violence in the previous 12 months"
"sex","region","16.1.3","sex/gender","geography - mid-level",NA,NA,NA,NA,"16.1.3 Proportion of population subjected to (a) physical violence, (b) psychological violence and (c) sexual violence in the previous 12 months"
"age","sex","16.1.4","age","sex/gender",NA,NA,NA,NA,"16.1.4 Proportion of population that feel safe walking alone around the area they live"
"ethnic group","ethnicity","16.1.4","ethnic group","ethnicity",NA,NA,NA,NA,"16.1.4 Proportion of population that feel safe walking alone around the area they live"
"ethnicity","ethnic group","16.1.4","ethnicity","ethnic group",NA,NA,NA,NA,"16.1.4 Proportion of population that feel safe walking alone around the area they live"
"sex","age","16.1.4","sex/gender","age",NA,NA,NA,NA,"16.1.4 Proportion of population that feel safe walking alone around the area they live"
"age","sex","16.3.2","age","sex/gender",NA,NA,NA,NA,"16.3.2 Unsentenced detainees as a proportion of overall prison population"
"sex","age","16.3.2","sex/gender","age",NA,NA,NA,NA,"16.3.2 Unsentenced detainees as a proportion of overall prison population"
"country","region","16.6.2","geography - high level","geography - mid-level",NA,NA,NA,NA,"16.6.2 Proportion of population satisfied with their last experience of public services"
"region","country","16.6.2","geography - mid-level","geography - high level",NA,NA,NA,NA,"16.6.2 Proportion of population satisfied with their last experience of public services"
"age","sex","16.7.1","age","sex/gender",NA,NA,NA,NA,"16.7.1 Proportions of positions in national and local institutions, including (a) the legislatures; (b) the public service; and (c) the judiciary, compared to national distributions, by sex, age, persons with disabilities and population groups"
"country","region","16.7.1","geography - high level","geography - mid-level",NA,NA,NA,NA,"16.7.1 Proportions of positions in national and local institutions, including (a) the legislatures; (b) the public service; and (c) the judiciary, compared to national distributions, by sex, age, persons with disabilities and population groups"
"region","country","16.7.1","geography - mid-level","geography - high level",NA,NA,NA,NA,"16.7.1 Proportions of positions in national and local institutions, including (a) the legislatures; (b) the public service; and (c) the judiciary, compared to national distributions, by sex, age, persons with disabilities and population groups"
"sex","age","16.7.1","sex/gender","age",NA,NA,NA,NA,"16.7.1 Proportions of positions in national and local institutions, including (a) the legislatures; (b) the public service; and (c) the judiciary, compared to national distributions, by sex, age, persons with disabilities and population groups"
"age","disability status","17.8.1","age","disability status etc",NA,NA,NA,NA,"17.8.1 Proportion of individuals using the Internet"
"age","sex","17.8.1","age","sex/gender",NA,NA,NA,NA,"17.8.1 Proportion of individuals using the Internet"
"disability status","age","17.8.1","disability status etc","age",NA,NA,NA,NA,"17.8.1 Proportion of individuals using the Internet"
"ethnic group","ethnicity","17.8.1","ethnic group","ethnicity",NA,NA,NA,NA,"17.8.1 Proportion of individuals using the Internet"
"ethnicity","ethnic group","17.8.1","ethnicity","ethnic group",NA,NA,NA,NA,"17.8.1 Proportion of individuals using the Internet"
"local authority","region","17.8.1","geography - low level","geography - mid-level",NA,NA,NA,NA,"17.8.1 Proportion of individuals using the Internet"
"region","local authority","17.8.1","geography - mid-level","geography - low level",NA,NA,NA,NA,"17.8.1 Proportion of individuals using the Internet"
"sex","age","17.8.1","sex/gender","age",NA,NA,NA,NA,"17.8.1 Proportion of individuals using the Internet"
"age","sex","2.1.1","age","sex/gender",NA,NA,NA,NA,"2.1.1 Prevalence of undernourishment"
"sex","age","2.1.1","sex/gender","age",NA,NA,NA,NA,"2.1.1 Prevalence of undernourishment"
"country","ethnicity","2.2.2","geography - high level","ethnicity",NA,NA,NA,NA,"2.2.2 Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)"
"country","sex","2.2.2","geography - high level","sex/gender",NA,NA,NA,NA,"2.2.2 Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)"
"ethnicity","country","2.2.2","ethnicity","geography - high level",NA,NA,NA,NA,"2.2.2 Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)"
"sex","country","2.2.2","sex/gender","geography - high level",NA,NA,NA,NA,"2.2.2 Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)"
"country","deprivation quintile","3.1.1","geography - high level","wealth",NA,NA,NA,NA,"3.1.1 Maternal mortality ratio"
"country","ethnicity","3.1.1","geography - high level","ethnicity",NA,NA,NA,NA,"3.1.1 Maternal mortality ratio"
"deprivation quintile","country","3.1.1","wealth","geography - high level",NA,NA,NA,NA,"3.1.1 Maternal mortality ratio"
"ethnicity","country","3.1.1","ethnicity","geography - high level",NA,NA,NA,NA,"3.1.1 Maternal mortality ratio"
"country","health board","3.1.2","geography - high level","geography - low level",NA,NA,NA,NA,"3.1.2 Proportion of births attended by skilled health personnel"
"country","region","3.1.2","geography - high level","geography - mid-level",NA,NA,NA,NA,"3.1.2 Proportion of births attended by skilled health personnel"
"health board","country","3.1.2","geography - low level","geography - high level",NA,NA,NA,NA,"3.1.2 Proportion of births attended by skilled health personnel"
"region","country","3.1.2","geography - mid-level","geography - high level",NA,NA,NA,NA,"3.1.2 Proportion of births attended by skilled health personnel"
"country","sex","3.2.1","geography - high level","sex/gender",NA,NA,NA,NA,"3.2.1 Under?5 mortality rate"
"sex","country","3.2.1","sex/gender","geography - high level",NA,NA,NA,NA,"3.2.1 Under?5 mortality rate"
"age","country","3.2.2","age","geography - high level",NA,NA,NA,NA,"3.2.2 Neonatal mortality rate"
"country","age","3.2.2","geography - high level","age",NA,NA,NA,NA,"3.2.2 Neonatal mortality rate"
"country","country of birth","3.2.2","geography - high level","migration status etc",NA,NA,NA,NA,"3.2.2 Neonatal mortality rate"
"country","region","3.2.2","geography - high level","geography - mid-level",NA,NA,NA,NA,"3.2.2 Neonatal mortality rate"
"country","sex","3.2.2","geography - high level","sex/gender",NA,NA,NA,NA,"3.2.2 Neonatal mortality rate"
"country of birth","country","3.2.2","migration status etc","geography - high level",NA,NA,NA,NA,"3.2.2 Neonatal mortality rate"
"region","country","3.2.2","geography - mid-level","geography - high level",NA,NA,NA,NA,"3.2.2 Neonatal mortality rate"
"sex","country","3.2.2","sex/gender","geography - high level",NA,NA,NA,NA,"3.2.2 Neonatal mortality rate"
"age","country","3.3.1","age","geography - high level",NA,NA,NA,NA,"3.3.1 Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations"
"age","country","3.3.1","age","geography - high level","sex","sex/gender",NA,NA,"3.3.1 Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations"
"age","sex","3.3.1","age","sex/gender","country","geography - high level",NA,NA,"3.3.1 Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations"
"age","sex","3.3.1","age","sex/gender",NA,NA,NA,NA,"3.3.1 Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations"
"country","age","3.3.1","geography - high level","age",NA,NA,NA,NA,"3.3.1 Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations"
"country","age","3.3.1","geography - high level","age","sex","sex/gender",NA,NA,"3.3.1 Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations"
"country","ethnicity","3.3.1","geography - high level","ethnicity",NA,NA,NA,NA,"3.3.1 Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations"
"country","ethnicity","3.3.1","geography - high level","ethnicity","sex","sex/gender",NA,NA,"3.3.1 Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations"
"country","sex","3.3.1","geography - high level","sex/gender",NA,NA,NA,NA,"3.3.1 Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations"
"country","sex","3.3.1","geography - high level","sex/gender","age","age",NA,NA,"3.3.1 Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations"
"country","sex","3.3.1","geography - high level","sex/gender","ethnicity","ethnicity",NA,NA,"3.3.1 Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations"
"ethnicity","country","3.3.1","ethnicity","geography - high level",NA,NA,NA,NA,"3.3.1 Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations"
"ethnicity","country","3.3.1","ethnicity","geography - high level","sex","sex/gender",NA,NA,"3.3.1 Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations"
"ethnicity","sex","3.3.1","ethnicity","sex/gender",NA,NA,NA,NA,"3.3.1 Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations"
"ethnicity","sex","3.3.1","ethnicity","sex/gender","country","geography - high level",NA,NA,"3.3.1 Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations"
"sex","age","3.3.1","sex/gender","age","country","geography - high level",NA,NA,"3.3.1 Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations"
"sex","age","3.3.1","sex/gender","age",NA,NA,NA,NA,"3.3.1 Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations"
"sex","country","3.3.1","sex/gender","geography - high level",NA,NA,NA,NA,"3.3.1 Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations"
"sex","country","3.3.1","sex/gender","geography - high level","age","age",NA,NA,"3.3.1 Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations"
"sex","country","3.3.1","sex/gender","geography - high level","ethnicity","ethnicity",NA,NA,"3.3.1 Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations"
"sex","ethnicity","3.3.1","sex/gender","ethnicity",NA,NA,NA,NA,"3.3.1 Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations"
"sex","ethnicity","3.3.1","sex/gender","ethnicity","country","geography - high level",NA,NA,"3.3.1 Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations"
"country","country of birth","3.3.2","geography - high level","migration status etc",NA,NA,NA,NA,"3.3.2 Tuberculosis incidence per 100,000 population"
"country","country of birth","3.3.2","geography - high level","migration status etc","ethnic group","ethnic group",NA,NA,"3.3.2 Tuberculosis incidence per 100,000 population"
"country","country of birth","3.3.2","geography - high level","migration status etc","region","geography - mid-level",NA,NA,"3.3.2 Tuberculosis incidence per 100,000 population"
"country","ethnic group","3.3.2","geography - high level","ethnic group","country of birth","migration status etc",NA,NA,"3.3.2 Tuberculosis incidence per 100,000 population"
"country","ethnic group","3.3.2","geography - high level","ethnic group",NA,NA,NA,NA,"3.3.2 Tuberculosis incidence per 100,000 population"
"country","region","3.3.2","geography - high level","geography - mid-level","country of birth","migration status etc",NA,NA,"3.3.2 Tuberculosis incidence per 100,000 population"
"country","region","3.3.2","geography - high level","geography - mid-level",NA,NA,NA,NA,"3.3.2 Tuberculosis incidence per 100,000 population"
"country of birth","country","3.3.2","migration status etc","geography - high level",NA,NA,NA,NA,"3.3.2 Tuberculosis incidence per 100,000 population"
"country of birth","country","3.3.2","migration status etc","geography - high level","ethnic group","ethnic group",NA,NA,"3.3.2 Tuberculosis incidence per 100,000 population"
"country of birth","country","3.3.2","migration status etc","geography - high level","region","geography - mid-level",NA,NA,"3.3.2 Tuberculosis incidence per 100,000 population"
"country of birth","ethnic group","3.3.2","migration status etc","ethnic group","country","geography - high level",NA,NA,"3.3.2 Tuberculosis incidence per 100,000 population"
"country of birth","ethnic group","3.3.2","migration status etc","ethnic group",NA,NA,NA,NA,"3.3.2 Tuberculosis incidence per 100,000 population"
"country of birth","region","3.3.2","migration status etc","geography - mid-level","country","geography - high level",NA,NA,"3.3.2 Tuberculosis incidence per 100,000 population"
"country of birth","region","3.3.2","migration status etc","geography - mid-level",NA,NA,NA,NA,"3.3.2 Tuberculosis incidence per 100,000 population"
"ethnic group","country","3.3.2","ethnic group","geography - high level","country of birth","migration status etc",NA,NA,"3.3.2 Tuberculosis incidence per 100,000 population"
"ethnic group","country","3.3.2","ethnic group","geography - high level",NA,NA,NA,NA,"3.3.2 Tuberculosis incidence per 100,000 population"
"ethnic group","country of birth","3.3.2","ethnic group","migration status etc","country","geography - high level",NA,NA,"3.3.2 Tuberculosis incidence per 100,000 population"
"ethnic group","country of birth","3.3.2","ethnic group","migration status etc",NA,NA,NA,NA,"3.3.2 Tuberculosis incidence per 100,000 population"
"region","country","3.3.2","geography - mid-level","geography - high level","country of birth","migration status etc",NA,NA,"3.3.2 Tuberculosis incidence per 100,000 population"
"region","country","3.3.2","geography - mid-level","geography - high level",NA,NA,NA,NA,"3.3.2 Tuberculosis incidence per 100,000 population"
"region","country of birth","3.3.2","geography - mid-level","migration status etc","country","geography - high level",NA,NA,"3.3.2 Tuberculosis incidence per 100,000 population"
"region","country of birth","3.3.2","geography - mid-level","migration status etc",NA,NA,NA,NA,"3.3.2 Tuberculosis incidence per 100,000 population"
"age","sex","3.3.3","age","sex/gender",NA,NA,NA,NA,"3.3.3 Malaria incidence per 1,000 population"
"country","region","3.3.3","geography - high level","geography - mid-level",NA,NA,NA,NA,"3.3.3 Malaria incidence per 1,000 population"
"region","country","3.3.3","geography - mid-level","geography - high level",NA,NA,NA,NA,"3.3.3 Malaria incidence per 1,000 population"
"sex","age","3.3.3","sex/gender","age",NA,NA,NA,NA,"3.3.3 Malaria incidence per 1,000 population"
"age","region","3.3.4","age","geography - mid-level","sex","sex/gender",NA,NA,"3.3.4 Hepatitis B incidence per 100,000 population"
"age","region","3.3.4","age","geography - mid-level",NA,NA,NA,NA,"3.3.4 Hepatitis B incidence per 100,000 population"
"age","sex","3.3.4","age","sex/gender","region","geography - mid-level",NA,NA,"3.3.4 Hepatitis B incidence per 100,000 population"
"age","sex","3.3.4","age","sex/gender",NA,NA,NA,NA,"3.3.4 Hepatitis B incidence per 100,000 population"
"region","age","3.3.4","geography - mid-level","age","sex","sex/gender",NA,NA,"3.3.4 Hepatitis B incidence per 100,000 population"
"region","age","3.3.4","geography - mid-level","age",NA,NA,NA,NA,"3.3.4 Hepatitis B incidence per 100,000 population"
"region","sex","3.3.4","geography - mid-level","sex/gender",NA,NA,NA,NA,"3.3.4 Hepatitis B incidence per 100,000 population"
"region","sex","3.3.4","geography - mid-level","sex/gender","age","age",NA,NA,"3.3.4 Hepatitis B incidence per 100,000 population"
"sex","age","3.3.4","sex/gender","age","region","geography - mid-level",NA,NA,"3.3.4 Hepatitis B incidence per 100,000 population"
"sex","age","3.3.4","sex/gender","age",NA,NA,NA,NA,"3.3.4 Hepatitis B incidence per 100,000 population"
"sex","region","3.3.4","sex/gender","geography - mid-level",NA,NA,NA,NA,"3.3.4 Hepatitis B incidence per 100,000 population"
"sex","region","3.3.4","sex/gender","geography - mid-level","age","age",NA,NA,"3.3.4 Hepatitis B incidence per 100,000 population"
"age","country","3.4.1","age","geography - high level","region","geography - mid-level","sex","sex/gender","3.4.1 Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease"
"age","country","3.4.1","age","geography - high level",NA,NA,NA,NA,"3.4.1 Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease"
"age","country","3.4.1","age","geography - high level","region","geography - mid-level",NA,NA,"3.4.1 Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease"
"age","country","3.4.1","age","geography - high level","sex","sex/gender",NA,NA,"3.4.1 Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease"
"age","country","3.4.1","age","geography - high level","sex","sex/gender","region","geography - mid-level","3.4.1 Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease"
"age","region","3.4.1","age","geography - mid-level","country","geography - high level","sex","sex/gender","3.4.1 Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease"
"age","region","3.4.1","age","geography - mid-level","country","geography - high level",NA,NA,"3.4.1 Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease"
"age","region","3.4.1","age","geography - mid-level","sex","sex/gender","country","geography - high level","3.4.1 Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease"
"age","sex","3.4.1","age","sex/gender","country","geography - high level",NA,NA,"3.4.1 Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease"
